id,strategy,seed_prompt
seed-0000,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0001,single_entity,entity:category-quickstart|label:Quickstart|niche:apex|type:category
seed-0002,cross_locale,locale:ja|niche:apex|sample:ja-magica-quickstart|query:find articles in ja about apex
seed-0003,single_entity,entity:ja-cnt_tecent_vm_benefits_2026_05|label:Tencent Cloud Deal Stack for Builders|niche:apex|type:article
seed-0004,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0005,graph_traversal,traversal:Erste Schritte mit Magica → Magica: Das KI-Kommandozentrum → Magica: The AI Command Center|hops:3|nodes:3
seed-0006,cross_locale,locale:zh|niche:apex|sample:zh-magica-quickstart|query:find articles in zh about apex
seed-0007,cross_locale,locale:ja|niche:apex|sample:ja-magica-overview|query:find articles in ja about apex
seed-0008,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0009,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0010,single_entity,entity:category-api|label:Api|niche:apex|type:category
seed-0011,single_entity,entity:es-magica-overview|label:Magica: El Centro de Comando de IA|niche:apex|type:article
seed-0012,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0013,entity_pair,relation:related_to|src:Tencent Cloud Deal Stack for Builders|dst:Tencent Cloud Deal Stack für Entwickler
seed-0014,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0015,single_entity,entity:fr-magica-quickstart|label:Premiers Pas avec Magica|niche:apex|type:article
seed-0016,single_entity,entity:pt-cnt_tecent_vm_benefits_2026_05|label:Tencent Cloud Deal Stack: Cloud Barata para Builders|niche:apex|type:article
seed-0017,single_entity,entity:category-multi-model|label:Multi Model|niche:apex|type:category
seed-0018,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0019,entity_pair,relation:related_to|src:Magica: Das KI-Kommandozentrum|dst:Magica
seed-0020,entity_pair,relation:related_to|src:Getting Started with Magica|dst:Ai Workflows
seed-0021,cross_locale,locale:fr|niche:apex|sample:fr-magica-quickstart|query:find articles in fr about apex
seed-0022,single_entity,entity:category-ai-workflows|label:Ai Workflows|niche:apex|type:category
seed-0023,graph_traversal,traversal:Building MCP Servers with Magica → Magica Official Site → Magica 快速入门 → 使用Magica构建MCP服务器|hops:4|nodes:4
seed-0024,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0025,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0026,graph_traversal,traversal:Mcp → Construindo Servidores MCP com Magica → 使用Magica构建MCP服务器 → 面向开发者的腾讯云交易堆栈|hops:4|nodes:4
seed-0027,graph_traversal,traversal:Primi Passi con Magica → Tutorial → Premiers Pas avec Magica → Ai Workflows|hops:4|nodes:4
seed-0028,entity_pair,relation:related_to|src:Magica：AI指挥中心|dst:Magica
seed-0029,single_entity,entity:it-tencent-cloud-deal-stack-builders|label:Tencent Cloud Deal Stack per Creator|niche:apex|type:article
